placeQ,placeLabel,location
Q3747451,Fontana vecchia,Point(13.398701 42.348726)
Q98852379,Fonte Brecciola,Point(13.967020916 42.576664534)
Q98852374,Fonte Canala,Point(13.987869444 42.584622222)
Q98852376,Fonte Fontecchio,Point(13.987180235 42.579935164)
Q106545414,Fonte Grande,Point(13.589925 42.328042)
Q98852377,Fonte Pila,Point(13.985650394 42.582878632)
Q48809429,Forcona,Point(13.439746 42.308975)
Q1438933,Forte spagnolo,Point(13.404944 42.353951)
Q28670895,Fortezza di Pescara,Point(14.213146 42.462061)
Q57563386,Furfo,Point(13.58 42.303611111)
Q3757748,Galleria delle antiche ceramiche abruzzesi,Point(13.987699 42.433189)
Q3392526,Grotta del Cavallone,Point(14.154722222 42.038888888)
Q68308383,I Morroni,Point(13.621321 42.002897)
Q107530889,Imago Museum,Point(14.20639 42.47003)
Q65008058,Le cancelle,Point(13.397508 42.348255)
Q3839042,Lucus Angitiae,Point(13.460661 41.970771)
Q77844120,MAXXI L'Aquila,Point(13.3997882 42.3529549)
Q63970481,Maison des Arts,Point(14.208448 42.471841)
Q3626844,Marruvium,Point(13.6276 42.0065)
Q3853698,Mediamuseum,Point(14.214055 42.459933)
Q23925255,Milonia (città antica),Point(13.720611111 42.005972222)
Q19622375,Monastero di San Benedetto (Subiaco),Point(13.1184 41.9168)
Q19622375,Monastero di San Benedetto (Subiaco),Point(13.117444 41.91715)
Q19843960,Monastero di Santa Scolastica,Point(13.104756 41.925537)
Q72684238,Morroni di Corfinium,Point(13.835237 42.117385)
Q55193888,"Mostra permanente ""Futuro remoto""",Point(13.937298 41.776252)
Q113584304,Mura,Point(13.048378 42.136661)
Q113584302,Mura,Point(13.022001 42.394998)
Q113583597,Mura,Point(13.342043 41.777453)
Q113583595,Mura,Point(13.313413 41.799375)
Q113583591,Mura,Point(13.367636 41.761773)
Q113583593,Mura,Point(13.254447 41.691822)
Q56258623,Mura Serviane,Point(13.1588643 41.7410722)
Q113584299,Mura di Castelmenardo,Point(13.22167 42.208546)
Q55386105,Musei del Parco Nazionale della Maiella,Point(14.219707 42.19087)
Q3867563,Musellaro,Point(13.95272 42.191243)
Q55193859,"Museo ""in situ"" Sala Arianna del Museo archeologico",Point(13.92503 42.04816)
Q21552026,Museo Archeologico Civico 'De Albentiis - Tascini - De Galitis',Point(13.979704 42.580359)
Q25301166,Museo Archeologico di Rovere,Point(13.518115 42.176677)
Q3867749,Museo Capitolare di Atri,Point(13.979661 42.580501)
Q55377800,"Museo Civico Archeologico ""Villa di Traiano""",Point(13.1593 41.8547)
Q21552081,Museo Civico Archeologico 'Antonio De Nino',Point(13.842989 42.124124)
Q21552085,Museo Civico Aufidenate 'Antonio De Nino',Point(14.039239 41.737312)
Q25331079,Museo Etnografico Missionario,Point(13.87436 42.098094)
Q55378026,Museo Luigi Ceselli del Monastero di Santa Scolastica,Point(13.094754 41.92789)
Q21552297,Museo Orientale e Santuario di Santa Maria dell'Oriente,Point(13.276405 42.058393)
Q21551995,Museo Paludi di Celano,Point(13.514512 42.052705)
Q3867652,Museo Paparella Treccia Devlet,Point(14.208315 42.472541)
Q3867645,Museo Staurós,Point(13.6575 42.516944)
Q36844308,Museo Tommaso Gismondi,Point(13.161591 41.743077)
Q73003342,Museo Tradizioni Faresi,Point(14.205916 42.094808)
Q3867665,Museo archeologico La Civitella,Point(14.162026 42.345096)
Q3867687,Museo archeologico di Guardiagrele,Point(14.220353 42.19105)
Q3867691,Museo archeologico di Santa Maria dei Raccomandati,Point(13.4005 42.352138888)
Q21552015,Museo archeologico di Segni,Point(13.02348 41.69335)
Q55379228,Museo archeologico ernico,Point(13.152652 41.74481)
Q3867702,Museo archeologico nazionale d'Abruzzo,Point(14.1645 42.343)
Q3867751,Museo casa natale Gabriele D'Annunzio,Point(14.211818 42.46099)
Q53635218,Museo centro studi sulla pittura di paesaggio europea del Lazio,Point(13.036815 41.85889)
Q55193840,Museo civico,Point(14.080798 41.845968)
Q55193977,Museo civico Luigi Chiavetta,Point(14.056176 42.51735)
Q48810812,Museo civico archeologico,Point(14.18259 41.791326)
Q25301103,Museo civico archeologico di Collelongo,Point(13.5843 41.884375)
Q3867800,Museo civico aufidenate,Point(14.102902 41.787995)
Q55360215,Museo civico degli ex-voto,Point(13.230804 41.92683)
Q55193853,Museo civico del costume popolare abruzzese molisano e della transumanza,Point(13.924167 42.04789)
Q25302503,Museo civico della civiltà contadina,Point(13.878441 42.100047)
Q55359988,Museo civico delle tradizioni popolari,Point(13.052723 42.45232)
Q3867755,Museo civico di Alatri,Point(13.343755 41.726078)
Q55386424,Museo civico di Borgo Velino,Point(13.058281 42.4059)
Q3867813,Museo civico di Cerchio,Point(13.600291 42.063858)
Q55386328,Museo civico di Ocre,Point(13.476254 42.287094)
Q3867818,Museo civico di Sulmona,Point(13.923209 42.049464)
Q55193841,Museo civico di documentazione storico-ambientale,Point(13.977474 41.93447)
Q3867831,Museo civico diocesano,Point(13.927107 42.456189)
Q3867831,Museo civico diocesano,Point(13.926704 42.456064)
Q21552096,Museo civico etnografico,Point(13.978864 42.581143)
Q55192597,"Museo civico etnografico delle tradizioni popolari ""Alfonso Maria di Nola""",Point(13.774808 42.03376)
Q55192537,Museo civico etnografico di Castel del Monte,Point(13.726747 42.36481)
Q3867864,Museo d'arte moderna Vittoria Colonna,Point(14.212335 42.472266)
Q3328401,Museo d'arte sacra della Marsica,Point(13.54507 42.08463)
Q66342250,Museo dei Bambini L'Aquila,Point(13.508145 42.309413)
Q66057809,Museo dei Fossili e delle Ambre,Point(13.988444 42.232614)
Q3867910,Museo del Duomo di Guardiagrele,Point(14.221957 42.190668)
Q69546176,Museo del Fiore,Point(13.590732 42.335811)
Q68323378,Museo del Lupo,Point(13.78312 42.50208)
Q3868393,Museo del Mare,Point(14.221661 42.466683)
Q55359995,Museo del Monastero di Santa Filippa Mareri,Point(13.068755 42.29436)
Q118359441,Museo del Novecento e della Shoah,Point(13.81207 41.70906)
Q72174984,Museo del Treno,Point(14.15211 42.515683)
Q55192628,Museo del camoscio,Point(13.829444444 41.781944444)
Q55192628,Museo del camoscio,Point(13.829742 41.78097)
Q55385512,Museo del capriolo,Point(13.75697 41.921642)
Q55676134,Museo del castello di Fumone,Point(13.289584 41.727867)
Q3867946,Museo del costume e della tradizione della nostra gente,Point(14.220375 42.191295)
Q55192556,Museo del lupo appenninico,Point(13.943778 41.766426)
Q21552153,Museo del merletto a tombolo,Point(14.065706 41.890112)
Q69548761,Museo dell'Acqua,Point(13.934778 41.774678)
Q112045566,Museo dell'Ottocento,Point(14.21404 42.45818)
Q3868014,Museo dell'arte e della tecnologia confettiera,Point(13.922519 42.038636)
Q3868016,Museo dell'artigianato artistico abruzzese,Point(14.221382 42.192633)
Q107353352,Museo dell'intrattenimento elettronico,Point(13.430833 42.019071)
Q26257672,Museo dell'orso,Point(13.700295 42.126123)
Q3868029,Museo dell'orso marsicano,Point(14.128544 41.980128)
Q94577588,Museo dell'uomo e della natura,Point(13.3597 42.0991)
Q55085698,Museo della Cattedrale di Anagni,Point(13.161927 41.742428)
Q55676119,Museo della Chiesa di Santa Maria Maggiore,Point(13.342446 41.726334)
Q25331689,Museo della Cultura Materiale,Point(13.769924 42.182087)
Q71250726,Museo della Fauna,Point(13.99681 42.15951)
Q94656536,Museo della Luna,Point(13.591805555 42.083111111)
Q25333083,Museo della Transumanza,Point(13.940922 41.775495)
Q55359972,"Museo della città ""Lin Delija - Carlo Cesi""",Point(13.078103 42.41656)
Q3868081,Museo della civiltà contadina,Point(14.201803 41.854134)
Q55359909,Museo della civiltà contadina di San Donato Val di Comino,Point(13.813611 41.70924)
Q55675234,Museo della civiltà contadina e del lavoro,Point(13.583386 41.886536)
Q26211864,Museo della civiltà contadina e pastorale,Point(13.422777777 42.031333333)
Q55377816,Museo della cultura contadina,Point(13.115315 41.880795)
Q55675243,Museo della cultura della memoria,Point(13.6053506 42.2295387)
Q3868093,Museo della lana,Point(13.882748 41.90175)
Q3868098,Museo della media valle del Liri,Point(13.613388888 41.7209)
Q3868098,Museo della media valle del Liri,Point(13.61305 41.718853)
Q55377844,Museo della montagna,Point(13.067715 41.987843)
Q55359853,Museo della scienza del Pontificio Collegio Leoniano,Point(13.140743 41.75367)
Q112758830,Museo delle Attività Cartarie e della Stampa,Point(13.094963888 41.9262)
Q3868132,Museo delle arti e tradizioni popolari,Point(13.871525 41.93031)
Q21552206,Museo delle ceramiche di Castelli,Point(13.711605 42.488113)
Q55359919,Museo delle erbe dei Monti Ernici,Point(13.417659 41.69102)
Q3868143,Museo delle genti d'Abruzzo,Point(14.213303 42.462085)
Q55193855,Museo delle tecniche fotografiche,Point(13.922047 42.05349)
Q21552212,Museo delle tradizioni artigiane,Point(13.648616 42.545569)
Q55193864,Museo delle tradizioni del lavoro,Point(13.838085 41.935276)
Q3868155,Museo delle tradizioni e arti contadine,Point(13.991846 42.476067)
Q21552213,Museo delle tradizioni musicali,Point(13.016516 42.04146)
Q65068852,Museo di Scienze naturali e umane di San Giuliano,Point(13.391995 42.372789)
Q21127197,Museo di arte moderna di Avezzano,Point(13.425946 42.027724)
Q55193847,Museo di speleologia Vincenzo Rivera,Point(13.545637 42.256294)
Q3868236,Museo di storia delle scienze biomediche,Point(14.165255 42.346242)
Q3868242,Museo di storia naturale (Sulmona),Point(13.926007 42.048966)
Q3868242,Museo di storia naturale (Sulmona),Point(13.925863 42.049007)
Q55193992,"Museo didattico degli strumenti musicali, medievali e rinascimentali",Point(13.97539527 42.579958414)
Q3868264,Museo diocesano,Point(13.730835 42.13105)
Q3868290,Museo diocesano (Sulmona),Point(13.925999 42.047265)
Q55134081,Museo diocesano Teatino,Point(14.166244 42.348532)
Q21552258,Museo e Archivio degli Artisti Abruzzesi Contemporanei - Castello di Nocciano,Point(13.983383888 42.333256944)
Q57446813,Museo e biblioteca di Santa Maria Valleverde,Point(13.5393 42.0876)
Q3868380,Museo geopaleontologico Alto Aventino,Point(14.139296 41.985054)
Q3868390,Museo internazionale della pesca a mosca Stanislao Kuckiewicz,Point(14.102901944 41.787995)
Q3868407,Museo naturalistico archeologico Maurizio Locati,Point(14.191176 42.046557)
Q55386331,Museo naturalistico archeologico Paolo Barrasso,Point(14.002929 42.15727)
Q55193909,Museo naturalistico archeologico di Fara San Martino,Point(14.205687 42.09037)
Q27992743,Museo naturalistico etnografico,Point(13.697442 41.692861)
Q3328396,Museo nazionale d'Abruzzo,Point(13.405069 42.353689)
Q25301493,Museo pinacoteca Enrico Mattei,Point(13.422312 41.913791)
Q55385513,Museo scienze Naturali,Point(14.199728 42.407193)
Q3868463,Museo sperimentale d'arte contemporanea,Point(13.361525 42.366832)
Q55359854,Museo storico bonifaciano del Lazio meridionale,Point(13.160602 41.7428)
Q112323600,"Museo storico del parco nazionale d'Abruzzo, Lazio e Molise",Point(13.790546147 41.810318749)
Q55359973,Museo storico militare di Antrodoco,Point(13.079988 42.417522)
Q111379306,Museo tecnologico di Telespazio,Point(13.601944444 41.978888888)
Q55193979,Museolaboratorio d'Arte Contemporanea c/o ex manifattura tabacchi,Point(14.05918 42.517273)
Q3880770,Ocriticum,Point(13.99021111 42.00298611)
Q50113,Ofena,Point(13.759722222 42.326666666)
Q30028478,Ovindoli,Point(13.51603 42.13765)
Q65030275,Palazzetto Baroncelli,Point(13.399388 42.35182)
Q3889420,Palazzetto dei Nobili,Point(13.3974 42.3513)
Q25295969,Palazzo Alfieri,Point(13.401518 42.347403)
Q65016957,Palazzo Alfieri Dragonetti de Torres,Point(13.399283 42.347305)
Q65016993,Palazzo Antinori,Point(13.399352 42.353499)
Q65017017,Palazzo Antonelli,Point(13.394599 42.350967)
Q55165754,Palazzo Antonelli,Point(13.395064 42.350996)
Q55165752,Palazzo Antonelli Dragonetti de Torres,Point(13.395833333 42.349555555)
Q65028259,Palazzo Arcivescovile,Point(13.397126 42.348913)
Q3889557,Palazzo Ardinghelli,Point(13.39975 42.352944444)
Q108419488,Palazzo Baronale,Point(13.051538 42.110436)
Q55165755,Palazzo Benedetti - Mancinelli,Point(13.396791 42.34996)
Q28670618,Palazzo Betti,Point(13.399104 42.348677)
Q100846398,Palazzo Botticelli,Point(13.584388 41.884403)
Q47508989,Palazzo Branconio,Point(13.396646 42.354196)
Q65028579,Palazzo Bucciarelli-Vivio,Point(13.396197 42.350181)
Q65028598,Palazzo Burri-Gatti,Point(13.400489 42.351881)
Q47504694,Palazzo Camponeschi,Point(13.39725 42.351394)
Q29250553,Palazzo Cappa Camponeschi,Point(13.399545 42.35303)
